age,count,friend_count,likes
13,21,0.0,0.09215578716401536
14,44,0.0,0.09215578716401536
15,47,0.0,0.09215578716401536
16,42,0.0,0.09215578716401536
17,37,0.0,0.09215578716401536
18,71,0.0,0.09215578716401536
19,55,0.0,0.09215578716401536
20,46,0.0,0.09215578716401536
21,53,0.0,0.09215578716401536
22,47,0.0,0.09215578716401536
23,103,0.0,0.09215578716401536
24,72,0.0,0.09215578716401536
25,123,0.0,0.09215578716401536
26,67,0.0,0.09215578716401536
27,56,0.0,0.09215578716401536
28,75,0.0,0.09215578716401536
29,44,0.0,0.09215578716401536
30,50,0.0,0.09215578716401536
31,40,0.0,0.09215578716401536
32,51,0.0,0.09215578716401536
33,70,0.0,0.09215578716401536
34,28,0.0,0.09215578716401536
35,37,0.0,0.09215578716401536
36,35,0.0,0.09215578716401536
37,29,0.0,0.09215578716401536
38,27,0.0,0.09215578716401536
39,20,0.0,0.09215578716401536
40,24,0.0,0.09215578716401536
41,31,0.0,0.09215578716401536
42,22,0.0,0.09215578716401536
43,24,0.0,0.09215578716401536
44,18,0.0,0.09215578716401536
45,24,0.0,0.09215578716401536
46,16,0.0,0.09215578716401536
47,20,0.0,0.09215578716401536
48,22,0.0,0.09215578716401536
49,8,0.0,0.09215578716401536
50,11,0.0,0.09215578716401536
51,20,0.0,0.09215578716401536
52,17,0.0,0.09215578716401536
53,15,0.0,0.09215578716401536
54,16,0.0,0.09215578716401536
55,12,0.0,0.09215578716401536
56,4,0.0,0.09215578716401536
57,11,0.0,0.09215578716401536
58,10,0.0,0.09215578716401536
59,11,0.0,0.09215578716401536
60,8,0.0,0.09215578716401536
61,10,0.0,0.09215578716401536
62,6,0.0,0.09215578716401536
63,8,0.0,0.09215578716401536
64,2,0.0,0.09215578716401536
65,7,0.0,0.09215578716401536
66,6,0.0,0.09215578716401536
67,7,0.0,0.09215578716401536
68,6,0.0,0.09215578716401536
69,2,0.0,0.09215578716401536
70,3,0.0,0.09215578716401536
71,2,0.0,0.09215578716401536
72,2,0.0,0.09215578716401536
73,6,0.0,0.09215578716401536
74,5,0.0,0.09215578716401536
76,1,0.0,0.09215578716401536
78,1,0.0,0.09215578716401536
79,1,0.0,0.09215578716401536
81,1,0.0,0.09215578716401536
84,1,0.0,0.09215578716401536
88,1,0.0,0.09215578716401536
90,1,0.0,0.09215578716401536
92,1,0.0,0.09215578716401536
93,1,0.0,0.09215578716401536
94,1,0.0,0.09215578716401536
95,1,0.0,0.09215578716401536
97,1,0.0,0.09215578716401536
100,1,0.0,0.09215578716401536
102,1,0.0,0.09215578716401536
107,1,0.0,0.09215578716401536
108,2,0.0,0.09215578716401536
13,13,1.0,0.22800844475721324
14,20,1.0,0.22800844475721324
15,21,1.0,0.22800844475721324
16,30,1.0,0.22800844475721324
17,33,1.0,0.22800844475721324
18,56,1.0,0.22800844475721324
19,44,1.0,0.22800844475721324
20,47,1.0,0.22800844475721324
21,49,1.0,0.22800844475721324
22,54,1.0,0.22800844475721324
23,85,1.0,0.22800844475721324
24,42,1.0,0.22800844475721324
25,94,1.0,0.22800844475721324
26,48,1.0,0.22800844475721324
27,43,1.0,0.22800844475721324
28,61,1.0,0.22800844475721324
29,40,1.0,0.22800844475721324
30,37,1.0,0.22800844475721324
31,37,1.0,0.22800844475721324
32,32,1.0,0.22800844475721324
33,47,1.0,0.22800844475721324
34,29,1.0,0.22800844475721324
35,22,1.0,0.22800844475721324
36,26,1.0,0.22800844475721324
37,20,1.0,0.22800844475721324
38,22,1.0,0.22800844475721324
39,19,1.0,0.22800844475721324
40,15,1.0,0.22800844475721324
41,16,1.0,0.22800844475721324
42,25,1.0,0.22800844475721324
43,24,1.0,0.22800844475721324
44,17,1.0,0.22800844475721324
45,20,1.0,0.22800844475721324
46,18,1.0,0.22800844475721324
47,16,1.0,0.22800844475721324
48,20,1.0,0.22800844475721324
49,14,1.0,0.22800844475721324
50,14,1.0,0.22800844475721324
51,8,1.0,0.22800844475721324
52,10,1.0,0.22800844475721324
53,11,1.0,0.22800844475721324
54,15,1.0,0.22800844475721324
55,11,1.0,0.22800844475721324
56,6,1.0,0.22800844475721324
57,6,1.0,0.22800844475721324
58,4,1.0,0.22800844475721324
59,10,1.0,0.22800844475721324
60,6,1.0,0.22800844475721324
61,5,1.0,0.22800844475721324
62,6,1.0,0.22800844475721324
63,7,1.0,0.22800844475721324
64,2,1.0,0.22800844475721324
65,5,1.0,0.22800844475721324
66,6,1.0,0.22800844475721324
67,2,1.0,0.22800844475721324
68,2,1.0,0.22800844475721324
69,3,1.0,0.22800844475721324
70,1,1.0,0.22800844475721324
71,1,1.0,0.22800844475721324
72,2,1.0,0.22800844475721324
73,1,1.0,0.22800844475721324
74,3,1.0,0.22800844475721324
75,1,1.0,0.22800844475721324
76,1,1.0,0.22800844475721324
77,1,1.0,0.22800844475721324
79,1,1.0,0.22800844475721324
80,1,1.0,0.22800844475721324
82,2,1.0,0.22800844475721324
84,1,1.0,0.22800844475721324
85,1,1.0,0.22800844475721324
93,1,1.0,0.22800844475721324
98,1,1.0,0.22800844475721324
101,1,1.0,0.22800844475721324
102,1,1.0,0.22800844475721324
103,2,1.0,0.22800844475721324
107,1,1.0,0.22800844475721324
108,2,1.0,0.22800844475721324
13,5,6.475663716814159,0.33517699115044247
14,20,6.475663716814159,0.33517699115044247
15,25,6.475663716814159,0.33517699115044247
16,17,6.475663716814159,0.33517699115044247
17,12,6.475663716814159,0.33517699115044247
18,24,6.475663716814159,0.33517699115044247
19,22,6.475663716814159,0.33517699115044247
20,28,6.475663716814159,0.33517699115044247
21,33,6.475663716814159,0.33517699115044247
22,22,6.475663716814159,0.33517699115044247
23,34,6.475663716814159,0.33517699115044247
24,22,6.475663716814159,0.33517699115044247
25,44,6.475663716814159,0.33517699115044247
26,30,6.475663716814159,0.33517699115044247
27,24,6.475663716814159,0.33517699115044247
28,22,6.475663716814159,0.33517699115044247
29,30,6.475663716814159,0.33517699115044247
30,25,6.475663716814159,0.33517699115044247
31,21,6.475663716814159,0.33517699115044247
32,15,6.475663716814159,0.33517699115044247
33,31,6.475663716814159,0.33517699115044247
34,13,6.475663716814159,0.33517699115044247
35,16,6.475663716814159,0.33517699115044247
36,17,6.475663716814159,0.33517699115044247
37,13,6.475663716814159,0.33517699115044247
38,16,6.475663716814159,0.33517699115044247
39,10,6.475663716814159,0.33517699115044247
40,14,6.475663716814159,0.33517699115044247
41,8,6.475663716814159,0.33517699115044247
42,6,6.475663716814159,0.33517699115044247
43,18,6.475663716814159,0.33517699115044247
44,11,6.475663716814159,0.33517699115044247
